MPR,ReadDatetime,kWh,ReadType
1.20006E+12,05/02/2023 13:30,0,Actual
1.20006E+12,05/02/2023 14:00,0,Actual
1.20006E+12,05/02/2023 14:30,0,Actual
1.20006E+12,05/02/2023 15:00,0,Actual
1.20006E+12,05/02/2023 15:30,0,Actual
1.20006E+12,05/02/2023 16:00,0,Actual
1.20006E+12,05/02/2023 16:30,0,Actual
1.20006E+12,05/02/2023 17:00,0,Actual
1.20006E+12,05/02/2023 17:30,0,Actual
1.20006E+12,05/02/2023 18:00,0,Actual
1.20006E+12,05/02/2023 18:30,0,Actual
1.20006E+12,05/02/2023 19:00,0,Actual
1.20006E+12,05/02/2023 19:30,0,Actual
1.20006E+12,05/02/2023 20:00,0,Actual
1.20006E+12,05/02/2023 20:30,0,Actual
1.20006E+12,05/02/2023 21:00,0,Actual
1.20006E+12,05/02/2023 21:30,0,Actual
1.20006E+12,05/02/2023 22:00,0,Actual
1.20006E+12,05/02/2023 22:30,0,Actual
1.20006E+12,05/02/2023 23:00,0,Actual
1.20006E+12,05/02/2023 23:30,0,Actual
