Date (UTC),1200061435370 (kWh),Type,1200061695248 (kWh),Type
23/02/2022 19:30,0,Actual,0,Actual
23/02/2022 20:00,0,Actual,0,Actual
23/02/2022 20:30,0,Actual,0,Actual
23/02/2022 21:00,0,Actual,0,Actual
23/02/2022 21:30,0,Actual,0,Actual
23/02/2022 22:00,0,Actual,0,Actual
23/02/2022 22:30,0,Actual,0,Actual
23/02/2022 23:00,0,Actual,0,Actual
23/02/2022 23:30,0,Actual,0,Actual
24/02/2022 00:00,0,Actual,0,Actual
24/02/2022 00:30,0,Actual,0,Actual
24/02/2022 01:00,0,Actual,0,Actual
24/02/2022 01:30,0,Actual,0,Actual
24/02/2022 02:00,0,Actual,0,Actual
24/02/2022 02:30,0,Actual,0,Actual
24/02/2022 03:00,0,Actual,0,Actual
24/02/2022 03:30,0,Actual,0,Actual
24/02/2022 04:00,0,Actual,0,Actual
24/02/2022 04:30,0,Actual,0,Actual
24/02/2022 05:00,0,Actual,0,Actual
24/02/2022 05:30,0,Actual,0,Actual
24/02/2022 06:00,0,Actual,0,Actual
24/02/2022 06:30,0,Actual,0,Actual
24/02/2022 07:00,0,Actual,0,Actual
24/02/2022 07:30,0,Actual,0,Actual
24/02/2022 08:00,0,Actual,0,Actual
24/02/2022 08:30,0,Actual,0,Actual
24/02/2022 09:00,0,Actual,0,Actual
24/02/2022 09:30,0,Actual,0,Actual
24/02/2022 10:00,0,Actual,0,Actual
24/02/2022 10:30,2.2,Actual,0,Actual
24/02/2022 11:00,55.7,Actual,0,Actual
24/02/2022 11:30,47.5,Actual,0,Actual
24/02/2022 12:00,36.8,Actual,0,Actual
24/02/2022 12:30,17.4,Actual,0,Actual
24/02/2022 13:00,31.2,Actual,0,Actual
24/02/2022 13:30,9.4,Actual,0,Actual
24/02/2022 14:00,39.9,Actual,0,Actual
24/02/2022 14:30,4.3,Actual,0,Actual
24/02/2022 15:00,11.2,Actual,0,Actual
24/02/2022 15:30,0.2,Actual,0,Actual
24/02/2022 16:00,0,Actual,0,Actual
24/02/2022 16:30,0,Actual,0,Actual
24/02/2022 17:00,0,Actual,0,Actual
24/02/2022 17:30,0,Actual,0,Actual
24/02/2022 18:00,0,Actual,0,Actual
